,Expected goals_home,Expected assists_home,Ball possession_home,Total shots_home,Shots on target_home,Shots off target_home,Blocked shots_home,Corner kicks_home,Offsides_home,Fouls_home,Yellow cards_home,Big chances_home,Big chances missed_home,Hit woodwork_home,Shots inside box_home,Shots outside box_home,Goalkeeper saves_home,Goals prevented_home,Passes_home,Accurate passes_home,Long balls_home,Crosses_home,Dribbles_home,Possession lost_home,Duels won_home,Aerials won_home,Tackles_home,Interceptions_home,Clearances_home,Expected goals_away,Expected assists_away,Ball possession_away,Total shots_away,Shots on target_away,Shots off target_away,Blocked shots_away,Corner kicks_away,Offsides_away,Fouls_away,Yellow cards_away,Big chances_away,Big chances missed_away,Hit woodwork_away,Shots inside box_away,Shots outside box_away,Goalkeeper saves_away,Goals prevented_away,Passes_away,Accurate passes_away,Long balls_away,Crosses_away,Dribbles_away,Possession lost_away,Duels won_away,Aerials won_away,Tackles_away,Interceptions_away,Clearances_away
away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.43,42%,7,0,3,4,2,1,23,2,0,0,0,4,3,2,-1.44,382,299 (78%),24/52 (46%),7/12 (58%),4/13 (31%),139,51,16,18,9,9
home,0.72,0.74,58%,9,5,3,1,2,4,13,1,3,2,1,4,5,0,0.00,530,452 (85%),44/79 (56%),2/15 (13%),8/17 (47%),126,61,10,22,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
